Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1989-12-31,1362.5638572763826,1582658.872103035,20713.440043902865,3794881.599306546,1267338.1568040084,2714471.020861072,189486.738661262,1992742.430473545,42800187.25355158,956442.3276237762,26737.294192871046,3689995.412557842,6520784.051373073,105233.74311828257,11295324.769406566,76146.13839111052,762000.0171553144,20919.207263281143,0.0,26160784.856448453,0.0,107236.40553628994,1920.7491428059604,2812.615861604292,26029.757612360667,5913659.495555405,0.0,519695.4985396684,533806.989799205,1237434.3973833695,13546.028038241288,537136.4929539284,249393.1183353499,387798.97284558904,5477347.061292529,12766450.196169095,0.0,0.0
1990-12-31,1362.5657988117157,1588278.5647583648,21646.437703107567,3869831.381189507,1316596.7184716584,2638706.072795748,191236.4122764064,2009190.8953136269,42872249.80330784,940903.6340961459,26849.297004546523,3665405.100763284,6664083.219571489,108849.9662873482,10924976.766047489,79520.4509158213,810547.5154246937,20651.93236118049,0.0,25963125.716458496,0.0,109796.91579438224,1942.7432532765185,2844.0277037814076,26024.25960682191,5999375.697530563,0.0,521565.79065025656,540828.9382018247,1244594.3462427673,13868.878030549788,572084.7395692249,268194.5015344087,381343.34615604277,5628009.964580792,13243423.724647474,0.0,0.0
1991-12-31,1313.9913287250308,1571550.9826860041,20886.041457455227,3787269.1462615225,1196561.4409878938,2708211.3147859415,183241.5831377636,1996283.3624699323,43846380.289203346,928477.7504012547,26062.441211857436,3453032.065838917,6608126.3003353365,98636.08924197419,10857163.624861559,77321.2937268826,773627.9399950171,20142.086489250236,0.0,25867347.960454185,0.0,109881.70079072479,1986.5975621308007,2800.1216834831744,25809.05768683864,5611141.874743315,0.0,520775.68098251446,546420.2876837365,1244776.544869737,13962.493849196691,524055.8718563078,250757.24759826364,375325.91537203005,5490339.891679087,12893713.959031787,0.0,0.0
1992-12-31,1333.6921361983268,1588705.274661675,21813.48746115511,3625622.705388302,1296209.7880899787,2542195.9777668742,185213.64965820478,2059909.5749161097,42211860.94932679,935717.9771248249,26448.553150743464,3599450.334114416,6697086.140567438,101948.9765981176,10285106.556518504,79878.44935690772,821908.4359070295,19580.367812727334,0.0,25223652.117156666,0.0,114041.7195732668,1855.499794730014,2902.169206721983,25909.245280402145,5892587.936772478,0.0,507341.14107795036,546909.4483858956,1281690.988865277,14305.17325249124,566965.7721708452,267097.533020098,385575.3159551766,5610506.07059634,13823562.732173152,0.0,0.0
1993-12-31,1382.2552937433295,1581369.472247396,22285.094979582693,3657223.2122672508,1337102.662429793,2594982.016326755,187088.5260668392,2094769.5475386593,42343566.57045811,896513.0437608487,27633.905614327217,3702392.6306092096,6588376.623180556,104558.65645660629,10572751.477939382,80103.73826239177,815257.3248370348,19199.04910767292,0.0,26023445.207290523,0.0,112284.37695499463,1901.7743587318603,2933.917343263627,27223.308625719455,6125749.876155729,0.0,492007.5863679886,555808.0310929783,1263698.2309466025,13508.002366918714,569183.5707273047,277184.63830448216,386390.465094267,5561776.4972138,13808467.337948512,0.0,0.0
1994-12-31,1369.3384838484374,1569607.6454700402,21609.952197415154,3585505.848917895,1261689.6393253622,2506907.0943279006,183910.73094851468,2043317.2163730732,42115823.924376585,935061.2914784242,28293.994685315414,3608493.630207788,6832850.506402572,112446.7939495065,10187303.620728109,79584.31961800391,800381.3022079683,19079.886529449777,0.0,25871432.930128653,0.0,113009.36127842954,1814.3939023789758,2943.983349629382,26188.128732488407,5912053.973713729,0.0,498131.9975690109,567417.3605109041,1272067.6145752473,13989.492503816604,553978.981099776,261963.10103030622,421854.87658294983,5545827.3005963545,13299532.014179021,0.0,0.0
1995-12-31,1303.5770537683538,1532946.8773179413,20637.020350609408,3762899.6454073973,1259331.8068158098,2559949.1791227534,188610.06734171274,1977103.4974981404,42534070.40107711,983506.842285873,27400.892042383828,3540338.1320388136,6762001.451002346,105606.29570902821,10586835.10379166,76376.07720002362,777370.0346358322,21183.4276710796,0.0,26003029.866662707,0.0,112719.19163550048,1840.578175241672,2963.5013584332833,24880.645453820063,5702898.313369592,0.0,540472.3596806051,547040.7383548163,1267087.6613354685,13841.400088680632,546005.3684814044,256790.77368264127,392280.8158177557,5396791.1645067865,12997558.550018623,0.0,0.0
1996-12-31,1254.5794260189646,1515810.8351650778,19630.736801504827,3675900.9008363676,1215913.8868679085,2597931.01173797,183601.1219456704,1939075.2718668848,41698767.43935708,928606.7710227364,29077.50812599481,3373587.194531852,6512309.887767831,110578.78745049289,10544675.701857673,73534.78655639138,756459.4703227499,20654.681354328055,0.0,24704298.90382147,0.0,117367.87146099067,1908.2305693559597,3114.859145457789,24162.152772642912,5428351.775200825,0.0,513407.53284972254,560620.6640544872,1253068.5534275048,13640.36419453812,527253.0981467036,243617.14680201584,398595.1552551978,5187274.064106897,12845494.182289697,0.0,0.0
1997-12-31,1355.6380672486457,1607188.5284293462,21441.46971030075,3745104.2764974874,1266095.2820678684,2702248.6130919,185364.52303279954,2059997.994578825,43263546.411387905,954777.5331978794,29052.416097504705,3589941.838629165,6538772.605267497,114565.31897293188,11134483.280878162,79516.79989761063,808065.9073847783,19690.07650313538,0.0,26409976.390712928,0.0,115571.15259998555,1952.9660871031228,3028.5006487188,25998.224086976195,5837277.622911973,0.0,510991.8876817943,577083.0852821154,1273696.6573297747,13390.946925868331,549341.441010691,256027.25897472104,420323.1423231105,5683443.013411985,13347929.330419656,0.0,0.0
1998-12-31,1341.3908252091092,1551453.0572031033,21753.06366846838,3321438.7836966077,1267439.9522024035,2625365.626793377,183573.2838989965,1921979.175248853,38952907.657270186,846459.9251202345,26823.3915720679,3584912.3927087993,6744569.130422412,102298.54999633426,10561024.395868214,79334.91403434018,783523.0971780481,19727.49965641827,0.0,26536577.048119295,0.0,107393.29569193826,1702.5945099501057,2820.1546524048777,26137.139493500912,5801090.203482648,0.0,458455.6132675524,513076.34531008394,1202318.6352887512,14174.068925947104,548254.0547178445,262348.56222970394,352476.380666484,5606228.4261121685,12816117.305671357,0.0,0.0
1999-12-31,1316.5325233680478,1503551.9566949415,20754.66131493553,3717312.653656579,1272591.2824004826,2472158.2697699694,188036.87376819714,1935467.051460312,41575948.095560804,911267.6357327345,28542.518644416235,3574006.068879498,6749977.642650667,106505.74896069214,10367966.77977519,75632.39199227784,770264.4528759205,19644.19664054952,0.0,25889409.325911846,0.0,115176.08052375031,1841.4363442451845,2988.5743631060354,25604.49952849825,5764104.827620076,0.0,518063.4739469681,527946.6339976662,1264507.7752577444,14083.720527577498,547883.1119293761,249684.0081219252,377759.00445806084,5400194.472039209,12823959.378421437,0.0,0.0
