Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1979-12-31,284.69929901141546,278.56048293493114,282.59062669863084,281.6629027123282,283.83536124315026,277.11205201141644,291.98896850799053,280.5491413321905,281.0354022408666,279.9652203162101,278.02406256050284,287.00328413013614,286.03103682420175,274.89637493264854,283.18637206050306,284.2618964817362,283.8077132636992,281.8197059805928,271.31727517694003,284.6838768744284,,278.81504179109567,281.1122786312778,278.4409469840182,281.50042377739675,283.6915287317346,,281.68327028310443,273.5182136906395,280.3978248812785,287.4679737066214,282.4097859623284,283.69184931392687,275.08633325000034,282.0216964394975,280.8793162671213,284.48569073401757,280.9206605114145
1980-12-31,284.11535750797015,277.93859335610125,281.54200817850585,281.8883470673951,283.06165214822295,276.64756095969983,291.46963260018214,279.8424085040992,280.91768198315253,280.66056590277867,277.579016706512,286.63572532786907,286.000220935792,274.3227898668035,282.86903442736786,283.13203846425387,282.4099063479059,282.52654620787695,273.75267005578337,284.1104905692176,,278.283634854279,281.0696924260031,277.8590553745445,280.9192536760003,283.13971566256856,,282.33057456056326,274.0507899555999,279.6771488012292,287.620706066712,281.2639511464027,282.6843394740434,275.1175476047371,281.20892817622916,279.68503158697655,283.7736546243183,281.62549836179414
1981-12-31,284.3486268835616,278.85267761529695,282.1986729063927,282.29058065981656,283.77793471232974,277.3127753401822,291.8305452705487,280.9087342568499,281.51577217922414,280.628033969177,278.3599486563934,286.93409836643866,286.70887664726024,274.25601800570854,283.62716255136957,284.09353111757986,283.84376989954336,282.6976994897269,272.6272795833333,284.6883456472605,,279.55844524429205,281.6561629018274,278.95380063812814,281.2319222716891,283.2900096495437,,282.5123474075348,273.4367398630135,280.94391015639314,288.3689400239723,282.2916120445233,283.5329836712327,274.94223388812713,282.11962076369923,280.99323384817404,284.4148816529686,281.5174892968029
1982-12-31,285.0656565559355,279.2625094303655,282.8810323561641,282.91864927397256,283.5821034737455,277.8016092397262,291.09348285730704,281.3094598812789,282.1380043698633,281.4386174417807,278.75543178424624,286.8378440696352,286.6533702191789,275.1914491632415,284.2178231666672,284.50912942808185,283.8102673413251,282.854309997717,273.44546387443063,285.3271834748866,,279.96088034931523,282.14460615411076,279.2879930445198,282.0110628105022,283.7794386700908,,283.2041196575344,274.8921273984008,281.5181684680369,287.82962065068597,282.29131957305856,283.67328414383627,276.2594041552507,282.5847835627861,281.2264928881289,283.09688482534233,282.17818539155314
1983-12-31,284.4431200251157,279.5329771449783,282.6027879052519,282.93514719064024,283.8075654509137,277.9398432214625,290.98353415525247,281.7466473242002,282.2674905627849,281.7997458401816,279.5202291324208,286.5310235273977,286.67711982420167,275.41561669634757,283.9755676666649,284.56899490410984,284.33188409703286,283.15789713356105,272.89407606849323,285.0544923755707,,280.7726245787681,282.16896540753527,280.1462805650691,281.4288667853862,283.3277577979451,,283.28831057648443,275.05994527853835,282.13295261072966,287.8015217865305,282.73646119406493,283.94330276940724,276.4903276906393,282.7376179760291,281.70855751712304,283.23703972831026,282.31365269520626
1984-12-31,284.66796280054746,278.3793967190348,282.15247493852337,282.24551540983634,283.62684026753277,276.7295949988615,291.5074130111569,280.5177225102457,281.1563844137063,281.3205011190823,279.0332760484985,286.86748446379806,285.7216801491342,275.8712835644364,283.2373318863835,283.7629200728601,283.4334409881605,282.7534845093348,274.2451122279152,284.2921313786434,,279.81454436247816,281.3248044011848,279.3664065938064,281.4541373576948,283.6354431215846,,282.4824456398,275.1022814594717,280.9074747586522,287.40963960951905,282.0423646402558,283.30831949453534,276.4970730680781,281.7098945913024,280.6703841234058,283.72244298383515,282.1066269637986
1985-12-31,285.1172871872136,278.281622463471,282.2349425730587,281.4208033904112,283.41396963698685,276.98460847031953,291.7297825102736,280.0059522054801,280.682874577627,279.95184763241923,277.004529847033,287.2474860273976,286.59064327397306,272.9750651917802,282.9625066084485,283.6711753847035,282.76694280365206,282.0786442682651,273.3388342146125,284.8917775068497,,278.10404916666624,280.81037898173486,277.52711831050254,281.79873436872094,283.8080574303656,,281.6037031997709,273.2575930022829,279.86366644406314,288.040106926941,281.2788607990876,283.00886817694015,274.0093568926938,281.6161635650692,280.0091366381277,283.74935157077755,281.2682888515991
1986-12-31,284.9530080547954,278.6974224212332,282.3723517294527,281.8974595867583,283.63655662328836,277.387718657534,291.80373506392806,280.7565923584469,281.1850649623291,280.39608098744185,278.2866420525107,287.04536473401714,286.30786904566264,274.5697007579905,283.31280023401683,283.8813669143834,283.56652384246615,281.74591591210117,273.6218510262564,284.93908006621086,,279.2167233687208,281.2855784863021,278.77136348858613,281.8990235410977,283.8473565228328,,282.12999585273917,274.0226971381277,280.6537427945222,287.59864982306084,282.38939740639285,283.5258059646114,275.4610265981729,281.86022565981744,280.8225461666658,284.1555920936066,281.13548058675724
1987-12-31,284.9307284554792,278.567943730594,282.4349740068488,281.74372116666643,283.3936016757995,277.36848871461285,291.55444655707777,280.05520518379166,280.62906218607293,279.9076059931523,276.62643715525195,286.8632305559372,286.929889034247,273.2336781986304,283.3423541061646,283.9574519326477,283.13403751598054,282.45875927854064,274.9473092248852,285.055782178083,,277.7340642785383,281.1079248664382,277.19378872031956,281.6645559474889,283.95881034474803,,281.871816151826,273.6360773082182,279.64733692579864,288.5583281381266,281.77186221118683,283.5157114417813,274.5846185091327,281.8751445593596,280.34333758904177,283.54990568493156,281.4730476221461
1988-12-31,284.8988902106108,279.3352163763676,282.7805553415299,283.1092279394339,283.7263793989078,278.2081869842894,291.74701971539145,281.3729615778672,282.28825302481846,281.81523062272294,278.9486981568762,287.1685512329247,286.5720456215835,275.2580791142977,284.1269433492732,284.5592160188979,283.81242901753217,282.87493099043724,273.3831746300099,285.39839065346,,279.8265271357015,282.39782885132024,279.41352694558265,281.7239063513202,283.9426595765026,,283.4240794023236,274.9004142167577,281.42611437500113,287.9177087921211,282.2729418920754,283.8318358765946,276.28107983492635,282.6961746220401,281.2067889071032,283.5705217122058,282.1863068510925
